semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total
244368,2014,מקיף אורט כרמים,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,78.65782945736434,87.9352205882353,0.16279069767441862,0.3014705882352941,129.0,136.0
244368,2015,מקיף אורט כרמים,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,76.16962962962963,86.59229166666667,0.16296296296296298,0.2847222222222222,135.0,144.0
244368,2016,מקיף אורט כרמים,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,77.48649681528663,87.75633720930233,0.1910828025477707,0.27325581395348836,157.0,172.0
244384,2013,הישיבה אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,73.61,80.20916666666666,0.0,0.14285714285714285,55.0,56.0
244384,2014,הישיבה אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,78.0776923076923,79.69559322033898,0.08771929824561403,0.3559322033898305,57.0,59.0
244384,2015,הישיבה אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,76.315,80.81369230769229,0.18518518518518517,0.3384615384615385,54.0,65.0
244384,2016,הישיבה אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,74.89138461538461,82.05785714285715,0.2,0.35714285714285715,65.0,70.0
244400,2013,תומר דבורה,צפת,צפת,exact,2.0,-1.079,33330.0,,צפת,94.06,83.06,0.0,0.0,16.0,16.0
244400,2014,תומר דבורה,צפת,צפת,exact,2.0,-1.079,33330.0,,צפת,89.86,,0.0,0.0,14.0,9.0
244400,2015,תומר דבורה,צפת,צפת,exact,2.0,-1.079,33330.0,,צפת,,,0.0,0.0,5.0,7.0
244400,2016,תומר דבורה,צפת,צפת,exact,2.0,-1.079,33330.0,,צפת,,79.33,0.0,0.0,9.0,12.0
244426,2013,מדרשיית הגליל,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,,,0.0,0.0,5.0,6.0
244483,2016,אמירים כפר ורדים,כפר ורדים,כפר ורדים,exact,9.0,1.649,5446.0,,כפר ורדים,86.67,87.23139534883721,0.21739130434782608,0.5581395348837209,46.0,43.0
244517,2013,ישיבת תומכי תמימים,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,59.73,,0.0,,11.0,
244517,2014,ישיבת תומכי תמימים,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,,,0.0,,7.0,
244566,2013,ברנקו וייס מרום גליל,מירון,מירון,exact,2.0,-1.262,898.0,310.0,מירון,58.12,73.08,0.0,0.0,26.0,25.0
244566,2014,ברנקו וייס מרום גליל,מירון,מירון,exact,2.0,-1.262,898.0,310.0,מירון,,68.57,0.0,0.0,8.0,23.0
244566,2015,ברנקו וייס מרום גליל,מירון,מירון,exact,2.0,-1.262,898.0,310.0,מירון,62.82,68.89,0.0,0.0,11.0,24.0
244566,2016,ברנקו וייס מרום גליל,מירון,מירון,exact,2.0,-1.262,898.0,310.0,מירון,56.0,71.22,0.0,0.0,14.0,23.0
244608,2013,בנות תפארת,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,77.34243902439025,79.11,0.0,0.0,41.0,43.0
244608,2014,בנות תפארת,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,92.47,85.22976744186046,0.0,0.0,40.0,43.0
244608,2015,בנות תפארת,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,88.12,83.26552631578947,0.0,0.0,41.0,38.0
244608,2016,בנות תפארת,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,87.37586206896552,81.48,0.0,0.0,29.0,31.0
244624,2013,"ישיבה תיכונית ב""ע",בית שאן,בית שאן,exact,5.0,-0.193,17332.0,,בית שאן,79.93399999999998,78.6505,0.16666666666666666,0.325,36.0,40.0
244624,2014,"ישיבה תיכונית ב""ע",בית שאן,בית שאן,exact,5.0,-0.193,17332.0,,בית שאן,75.29629629629629,72.1576923076923,0.0,0.2777777777777778,27.0,36.0
244624,2015,"ישיבה תיכונית ב""ע",בית שאן,בית שאן,exact,5.0,-0.193,17332.0,,בית שאן,79.4,75.92,0.20689655172413793,0.3076923076923077,29.0,26.0
244624,2016,"ישיבה תיכונית ב""ע",בית שאן,בית שאן,exact,5.0,-0.193,17332.0,,בית שאן,,76.5,0.22727272727272727,0.45454545454545453,22.0,22.0
246983,2013,מגדל אור בנות שלהבת,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,74.63,82.93116279069767,0.0,0.0,42.0,43.0
